"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006301","postreplication repair","15/3301","37/18860",0.405405405405405,2.31625142258284,3.69136122959335,0.000827042706569706,0.0237357373955897,0.020959105506743,"CTBP1-DT/DTL/FAAP20/PARP10/PCNA/POLD3/POLH/POLN/RAD18/REV1/REV3L/SPRTN/UBE2V1/USP1/USP10",15
"GO:1902895","positive regulation of miRNA transcription","20/3301","56/18860",0.357142857142857,2.04050720560869,3.59174285379035,0.00084855626807197,0.0242393666669344,0.021403819688505,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/MRTFB/MYB/NOTCH3/NR1H2/PAX6/POU2F1/PPARG/RELA/SMAD4/SMAD6/SMARCA4/SREBF1/SREBF2/TEAD1",20
"GO:0016925","protein sumoylation","23/3301","68/18860",0.338235294117647,1.93248035354705,3.54812488018962,0.000863137324945493,0.0245326080513855,0.0216627573828863,"CDKN2A/EGR1/HDAC4/HDAC7/NSMCE2/NSMCE3/NSMCE4A/PIAS1/PIAS4/PML/RANBP2/RELA/RNF212/SAE1/SENP1/SENP2/SMC5/SMC6/TOLLIP/TRIM28/UBA2/UBE2I/UHRF2",23
"GO:0032786","positive regulation of DNA-templated transcription, elongation","22/3301","64/18860",0.34375,1.96398818539836,3.55811706045517,0.000866848247848725,0.0245326080513855,0.0216627573828863,"BRD4/CCNK/CCNT2/CDC73/EAPP/ERCC6/GTF2F1/HMGN1/KAT7/LDB1/MED11/MED15/MED18/MED20/MED25/MED26/MED28/MED4/PARP1/PPP1R10/SUPT4H1/SUPT5H",22
"GO:0007033","vacuole organization","68/3301","270/18860",0.251851851851852,1.43893545165887,3.34606288176414,0.000876604846154083,0.0246944028780641,0.0218056252780894,"AP3B1/ARSG/ATG16L2/ATG4B/ATG7/ATG9A/ATM/ATP13A2/ATP6V1D/BAG3/BNIP3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CLN5/CLN8/CLVS2/CTSD/EHMT2/EMC6/EPHB2/EXT1/FEZ1/GAA/GNPTAB/HOOK1/HOOK3/IRGQ/LIPA/LRBA/LYSET/MAP1LC3B/MFSD8/MOAP1/MYO7A/NAGPA/PACS2/PHF23/PINK1/RAB14/RAB1B/RAB33A/RAB33B/RAB3GAP2/RBX1/RETREG1/RETREG2/RETREG3/RNF5/SMURF1/SNX4/STX12/STX17/TBC1D12/TFE3/TMEM106B/TMEM175/TPCN2/TRIM32/UBQLN1/ULK3/VPS35/VPS4B/WDR45B/WIPI2",68
"GO:0046785","microtubule polymerization","33/3301","110/18860",0.3,1.7140260527113,3.45940187733898,0.000881102625323046,0.0247072493055036,0.0218169689167387,"BLOC1S2/CAMSAP1/CAMSAP3/CDK1/CDK5R1/CEP192/CLASP1/CLIP3/DCTN1/DYRK1A/EML2/FBXO5/FKBP4/GBA2/HAUS3/HAUS6/HDGFL3/MAPRE3/MAPT/MECP2/NDEL1/NUMA1/PCNT/PPP2CA/RAC1/SKA1/SSNA1/TPGS2/TPPP/TUBG1/TUBG2/TUBGCP3/TUBGCP4",33
"GO:0070979","protein K11-linked ubiquitination","16/3301","41/18860",0.390243902439024,2.22962738564071,3.63043308375828,0.000918616113087295,0.0256415538780942,0.022641977543435,"AKT1/ANAPC1/ANAPC10/ANAPC11/ANAPC13/ANAPC2/ANAPC7/FZR1/PRKN/RNF4/UBE2D3/UBE2D4/UBE2E2/UBE2S/UBE2T/YWHAE",16
"GO:2000628","regulation of miRNA metabolic process","28/3301","89/18860",0.314606741573034,1.79748050471597,3.47346258813398,0.000934457035217622,0.0259651629831151,0.0229277305100286,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/MRTFB/MYB/NCOR2/NFATC3/NFIB/NOTCH3/NR1H2/PAX6/POU2F1/PPARA/PPARG/QKI/RELA/SMAD4/SMAD6/SMARCA4/SREBF1/SREBF2/TEAD1/TENT2/TWIST1/YY1",28
"GO:1901873","regulation of post-translational protein modification","63/3301","247/18860",0.255060728744939,1.45726911364119,3.33198784020016,0.000942999399680627,0.0260839607703515,0.0230326312053453,"AKT1/ARRB2/ARRDC3/BIRC8/CDC14B/CDKN2A/CEP63/CHFR/CRY1/DCUN1D2/DCUN1D4/DDX3X/DNAJA3/EGR1/FBXO5/FZR1/HDAC4/HSP90AA1/ITCH/MAD2L1/N4BP1/NOD2/NPM1/NSMCE3/OTUD4/PARP10/PAXIP1/PHF23/PIAS1/PIAS4/PINK1/PPIA/PRKCE/PRKN/PRMT3/PTTG1IP/RASSF1/RASSF5/RBX1/RELA/RIPK2/RNF111/RPL5/SAE1/SENP2/SIAH2/SIRT7/SPOPL/SPRTN/SPSB4/STUB1/SVBP/TBC1D7/TCF25/TOLLIP/U2AF2/UBA2/UBB/UBE2S/UBE2V1/UBE3A/UBQLN1/VPS28",63
"GO:0031123","RNA 3'-end processing","31/3301","102/18860",0.303921568627451,1.73643162202779,3.43502973447617,0.000980712973120438,0.0270049477688524,0.0238458801619801,"ANKZF1/CCNB1/CDC73/CPSF1/CPSF3/CSTF1/DKC1/ELAC1/EXOSC2/EXOSC5/EXOSC8/FBL/HSD17B10/INTS11/INTS2/INTS7/LARP7/NEMF/PAPOLA/PAPOLB/PARN/PTCD1/RPRD2/SLBP/SSU72/TENT2/TENT4A/YTHDC1/ZC3H3/ZFP36L1/ZNF473",31
